name,season,number,airdate,runtime,rating,summary,image_url
The One With Chandler's Dad,7,22,5/10/2001,30,{'average': 9},"Monica's Porsche shows up again, and becomes a conflict when Rachel finds out she is the only one who hasn't driven it. Meanwhile, Chandler and Monica travel to Vegas to find Chandler's dad and invite him (or her) to the wedding. Back at home, Joey proves his masculinity to Phoebe, while Ross and Rachel hit the freeway in the ""bad boy"".",https://image.tmdb.org/t/p/original/1ApTQ7uUhUkLI3si7r2iLp3xXt4.jpg
"The One with Monica and Chandler's Wedding, Part 1",7,23,5/17/2001,30,{'average': 9.2},"Monica and Chandler prepare for their wedding. During the rehearsal dinner with their families, Chandler's tie get's tighter and tighter until he can't take it anymore and he disappears. Meanwhile, Joey is starring in a movie with a prestigious actor with a spitting problem.",https://image.tmdb.org/t/p/original/omXc88sdzQHamGPW0GR5zL5McPB.jpg
"The One with Monica and Chandler's Wedding, Part 2",7,24,5/17/2001,30,{'average': 9.3},"Joey encounters problems trying to get off the movie set to officiate the wedding when the star turns up drunk. Meanwhile, Ross desperately searches for the missing Chandler as Rachel and Phoebe try to keep Monica from finding out. While the girls are searching, they come across a positive pregnancy test in a garbage can.",
"The One After ""I Do""",8,1,9/27/2001,30,{'average': 9.1},"Everybody thinks Monica's pregnant, but her denial quickly shifts the focus to Phoebe, taking the heat off of Rachel. Chandler's shoes are slippery, rendering his dance lessons useless. Joey tries to impress a Broadway director. Ross dances with children to impress a woman.",https://image.tmdb.org/t/p/original/zTVPfthOgP1yz9PcOxHRwPMEAUS.jpg
The One With the Red Sweater,8,2,10/4/2001,30,{'average': 9.5},"Rachel won't tell anybody who the father of her baby is until she tells him. Joey tells Monica and Phoebe that a guy slept with Rachel a few weeks earlier, and left a red sweater behind. Ross and Chandler attempt to recreate the wedding pictures, after Chandler loses the disposable cameras. Monica opens all of her and Chandler's wedding presents.",https://image.tmdb.org/t/p/original/Ac5DNKZFRjlemuae22SKqI8geEB.jpg
The One Where Rachel Tells Ross,8,3,10/11/2001,30,{'average': 9.2},Chandler and Monica prepare to leave for their honeymoon as Rachel prepares to tell the father of her baby. Phoebe and Joey try to get into Monica and Chandler's apartment.,https://image.tmdb.org/t/p/original/wZeIsy5034XouvErUT9fAI8UIjy.jpg
The One With the Videotape,8,4,10/18/2001,30,{'average': 9.2},Ross and Rachel disagree over who came onto whom when they hooked up. He wants to prove it and accidentally reveals that he has the encounter on videotape. Monica and Chandler meet another couple while on their honeymoon.,https://image.tmdb.org/t/p/original/1znECVU4xrWkzs2Khs0YHvTNSTo.jpg
The One With Rachel's Date,8,5,10/25/2001,30,{'average': 8.8},"Phoebe begins dating a guy who works for Monica, causing a problem when Phoebe wants to dump him on the same day Monica plans to fire him. A guy at Chandler's work thinks that Chandler's name is Toby. Rachel goes on a date with Joey's costar, despite being pregnant, much to Ross' annoyance.",https://image.tmdb.org/t/p/original/hn9Wxur1Y4s8esWI8w8VrNbSbz8.jpg
The One With the Halloween Party,8,6,11/1/2001,30,{'average': 9.2},"Monica and Chandler are throwing a Halloween Party. At the party Phoebe runs into her sister's fiance, Eric, and finds herself attracted to him. Ross and Chandler arm wrestle. Rachel asks if she can be the person who hands out candy to the trick-or-treaters, claiming 'the strongest maternal instincts', only to find out she isn't as maternal as she thought.",https://image.tmdb.org/t/p/original/etHUWVLhXpPHCbzH4uNNetEQkUq.jpg
The One With the Stain,8,7,11/8/2001,30,{'average': 8.7},"Chandler hires a maid, whom Monica suspects is stealing her clothing. Eric has broken up with Ursula and is ready to date Phoebe, except for one problem: he can't look at her without seeing Ursula. Ross tries to get Rachel an apartment in his building, but the woman living there isn't in a hurry to die.",https://image.tmdb.org/t/p/original/busMxkMHJCt5hyd4LRMH9Teg5KZ.jpg
The One With the Stripper,8,8,11/15/2001,30,{'average': 9.2},"Rachel prepares to have dinner with her dad and tell him that she's pregnant. Meanwhile, an unknowing Chandler discovers that Monica had a stripper at her bachelorette party, causing her to try to make it up, by getting him a stripper.",https://image.tmdb.org/t/p/original/ol7aXhn4TCZmwbud9g72uR8WGFc.jpg
The One With the Rumor,8,9,11/22/2001,30,{'average': 9.5},"Monica invites an old friend from high school over for Thanksgiving dinner, unaware that Will started a ""We Hate Rachel"" club with Ross. Meanwhile, Joey vows to eat an entire turkey by himself, and Chandler and Phoebe pretend to watch football to avoid helping in the kitchen.",https://image.tmdb.org/t/p/original/nhQ7irmtvCdMqGbfmN21Vf0FI4H.jpg
The One With Monica's Boots,8,10,12/6/2001,30,{'average': 8.8},"Chandler is peeved when Monica splurges on an expensive pair of boots. Phoebe learns Ross' and Sting's children attend the same school, she angles to meet the celebrity and get concert tickets. When Joey's sister Dina tells him she is pregnant, he freaks out.",https://image.tmdb.org/t/p/original/qRRYtxCn7nrS2Y6rHwg2vpnSt68.jpg
The One With the Creepy Holiday Card,8,11,12/13/2001,30,{'average': 9},"Ross starts to panic when Mona gets an idea to send out a holiday card for the two of them, thinking that their relationship is starting to move too fast. Chandler's newly divorced boss tries to get Monica and Chandler to come out to dinner with him, but Monica can't stand him. Rachel's hormones start acting up due to her pregnancy, causing her to hit on almost every guy she meets.",https://image.tmdb.org/t/p/original/s7JMRcbWK211dg4GUABjZWOjykB.jpg
The One Where Joey Dates Rachel,8,12,1/10/2002,30,{'average': 9.2},"Phoebe gets Monica and Chandler a Ms. Pacman arcade game for a wedding present, which leads to some heavy competition between Monica, Phoebe, and surprisingly, Chandler. Ross gets to teach an important class because of a retiring professor, but soon learns that its on the other side of town, and he doesn't have enough time to get there. Joey takes Rachel to dinner on a pretend date to make her feel better since she can't have a normal relationship due to her pregnancy.",https://image.tmdb.org/t/p/original/kagedGmNAj0de2q2ej1CQVyAlsk.jpg
The One Where Chandler Takes a Bath,8,13,1/17/2002,30,{'average': 9.2},"Monica turns Chandler on to the concept of a bath to relax, complete with scented oils and candles. Ross and Rachel toss baby names back and forth while deciding whether to learn the baby's sex. Joey still likes Rachel, a fact that Monica, Chandler and Phoebe discover by a little detective work.",https://image.tmdb.org/t/p/original/bcmxlN6YdOIScblA4c3qmq2gsx8.jpg
The One With the Secret Closet,8,14,1/31/2002,30,{'average': 8.9},Phoebe talks Monica into letting her give her a massage but becomes disconcerted when Monica begins making sexual noises. Joey dreams about being with Rachel and betraying Ross. Chandler realizes he's never seen what's in the closet by the bathroom and tries to break in. Rachel feels her baby kick for the first time.,https://image.tmdb.org/t/p/original/pIZ4ZbdqiUW0X7iGDbC1eTBwSms.jpg
