name,season,number,airdate,runtime,rating,summary,image_url
Niagara (2),6,5,10/8/2009,30,{'average': 8.8},The office staff travels to Jim and Pam's wedding.,https://image.tmdb.org/t/p/original/haQudolF7pDPsUaYxcuUWJKOueM.jpg
Mafia,6,6,10/15/2009,30,{'average': 7.8},"With Jim and Pam on their honeymoon, Michael ends up signing up for insurance thinking the guy selling is in the mafia.",https://image.tmdb.org/t/p/original/7gem2WvuueQCSZToxHrCAJ3wne1.jpg
The Lover,6,7,10/22/2009,30,{'average': 7.6},Pam finds out that Michael is dating her mother.,https://image.tmdb.org/t/p/original/jYnzCb3zfEg6tf5Z1fWI1UZws3V.jpg
Koi Pond,6,8,10/29/2009,30,{'average': 7.9},Michael ends up becoming the butt of everyone's jokes when he falls into a koi pond while on a sales call; Pam and Andy are mistaken for a couple when they go on sales calls together.,https://image.tmdb.org/t/p/original/c6splVKmX2f7JOSreqSgrn8N9an.jpg
Double Date,6,9,11/5/2009,30,{'average': 7.9},Michael breaks up with Pam's mom on her birthday; Dwight tries to get the rest of the staff to owe him in order to get Jim fired.,https://image.tmdb.org/t/p/original/dKyyCAdK3ynTa0V5GhGCDUZVpqu.jpg
Murder,6,10,11/12/2009,30,{'average': 8.1},Michael attempts to distract the office when rumors of Dunder Mifflin's bankruptcy surface.,https://image.tmdb.org/t/p/original/3MDPYQJtNYOhwrU4gf8eRwpUrka.jpg
Shareholder Meeting,6,11,11/19/2009,30,{'average': 8.3},"Michael is invited to be honored at a shareholder's meeting; Jim tries to get the rest of the office to understand he is one of the ""real"" bosses.",https://image.tmdb.org/t/p/original/oCpspjTl50bBvzAvAe7EcFyjm5k.jpg
Scott's Tots,6,12,12/3/2009,30,{'average': 8.3},Michael is in hot water when it comes time to pay up for promising a bunch of kids he would pay for their college tuition; Dwight tries to set Jim up.,https://image.tmdb.org/t/p/original/91UtqA3zap0dXyyYVQNnPiHSUfr.jpg
Secret Santa,6,13,12/10/2009,30,{'average': 7.3},Michael is upset when Jim allows Phyllis to be the office Santa for Christmas.,https://image.tmdb.org/t/p/original/nisOv4RtbvTWFSsN12tKwfTndma.jpg
The Banker,6,14,1/21/2010,30,{'average': 7.6},A banker from the potential buyer visits the office.,https://image.tmdb.org/t/p/original/1nqkoBwzBQotglrTaVdfvRyStVV.jpg
Sabre,6,15,2/4/2010,30,{'average': 7.6},Michael doesn't like the changes that the new owner is making to Dunder Mifflin; Jim and Pam interview at a day care.,https://image.tmdb.org/t/p/original/rUeCQBiSKMiaEvB8fnoRDl8rtb4.jpg
The Manager and the Salesman,6,16,2/11/2010,30,{'average': 8.1},"When the new CEO visits the office, she informs Michael and Jim that only one of the can be manager; Andy gives Valentine's Day cards to all the staff giving Kelly the wrong impression.",https://image.tmdb.org/t/p/original/q0DrvhOk0dpaVXKn5nDVZcxQ1a9.jpg
